year,vcnaics4,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,1131,193,200,3067,2948,42,21.483,33,16.880,1040,401,639,13.605,35.284,785,474,311,16.081,26.633,255,8.651,53.265,22,22,37
1978,1132,84,100,1745,1762,12,11.707,17,16.585,537,103,434,5.847,30.485,588,42,546,2.384,33.381,-51,-2.895,60.971,10,10,25
1978,1133,12079,12196,98382,93837,2382,19.806,2043,16.987,27106,9682,17424,10.318,28.886,17968,7320,10648,7.801,19.148,9138,9.738,38.296,1521,1524,5347
1978,1141,1504,1540,10486,9559,383,25.008,366,23.898,4434,1803,2631,18.862,46.386,2597,1253,1344,13.108,27.168,1837,19.217,54.336,272,272,799
1978,1142,147,147,694,650,34,23.368,31,21.306,304,130,174,20.015,46.805,213,71,142,10.931,32.794,91,14.011,65.589,25,25,64
1978,1151,4165,4602,53995,53660,696,14.853,864,18.438,18215,6296,11919,11.733,33.946,17836,6960,10876,12.971,33.239,379,0.706,66.478,562,584,4520
1978,1152,1585,1607,9681,9400,313,19.873,249,15.810,2597,1031,1566,10.968,27.628,2061,871,1190,9.266,21.926,536,5.702,43.851,203,203,646
1978,1153,613,627,7745,6984,149,24.833,95,15.833,3124,1124,2000,16.095,44.734,1649,677,972,9.694,23.613,1475,21.121,47.226,75,75,609
1978,2111,5258,7004,120136,117269,905,12.990,831,11.928,29725,9942,19783,8.478,25.348,23873,11834,12039,10.091,20.357,5852,4.990,40.715,391,402,1637
1978,2121,3317,4073,188312,204182,906,22.937,660,16.709,35064,13858,21206,6.787,17.173,66479,13930,52549,6.822,32.559,-31415,-15.386,34.346,435,440,5718
1978,2122,475,654,77624,82128,142,22.016,124,19.225,12060,3793,8267,4.618,14.684,20780,10124,10656,12.327,25.302,-8720,-10.618,29.369,61,62,2691
1978,2123,3666,5161,106759,105252,424,8.144,515,9.891,18545,5248,13297,4.986,17.620,15558,5520,10038,5.245,14.782,2987,2.838,29.563,241,246,1656
1978,2131,6708,7817,215802,201418,1571,20.764,1069,14.129,69769,24668,45101,12.247,34.639,41628,18588,23040,9.229,20.667,28141,13.971,41.335,621,633,5010
1978,2211,1463,5477,490178,476670,321,5.935,185,3.420,61271,16067,45204,3.371,12.854,34398,6355,28043,1.333,7.216,26873,5.638,14.433,14,14,204
1978,2212,488,2255,134661,133921,154,6.883,119,5.318,13461,2181,11280,1.629,10.051,12105,3735,8370,2.789,9.039,1356,1.013,18.078,24,24,110
1978,2213,3817,4127,33677,32899,453,11.235,263,6.523,6229,1467,4762,4.459,18.934,4663,2361,2302,7.177,14.174,1566,4.760,28.348,177,179,1506
1978,2361,103411,103759,601828,541726,28783,29.489,16477,16.881,253239,113446,139793,20.942,46.747,133078,63617,69461,11.743,24.566,120161,22.181,49.131,12812,12818,48092
1978,2362,31372,31925,574094,541269,6025,19.604,3642,11.850,172091,39652,132439,7.326,31.794,106982,25908,81074,4.787,19.765,65109,12.029,39.530,2734,2736,16288
1978,2371,12953,13251,311443,292760,1843,14.162,1368,10.512,94886,18751,76135,6.405,32.411,56238,15976,40262,5.457,19.210,38648,13.201,38.419,1027,1030,9119
1978,2372,7341,7485,64792,60011,2024,28.241,1388,19.367,26572,11567,15005,19.275,44.279,16877,8359,8518,13.929,28.123,9695,16.155,56.246,1013,1018,4548
1978,2373,10568,10876,219594,213822,1241,11.483,1103,10.206,55897,10135,45762,4.740,26.142,44138,9563,34575,4.472,20.642,11759,5.499,41.285,812,814,5627
1978,2379,4272,4340,106805,104877,889,20.876,726,17.048,30999,8396,22603,8.006,29.557,27618,6344,21274,6.049,26.334,3381,3.224,52.667,522,522,2506
1978,2381,65840,66250,531078,488404,13697,21.566,8222,12.945,188074,59571,128503,12.197,38.508,102883,37309,65574,7.639,21.065,85191,17.443,42.130,6342,6342,28383
1978,2382,91212,92902,879807,834661,14975,16.609,9498,10.534,232753,59985,172768,7.187,27.886,142057,47846,94211,5.732,17.020,90696,10.866,34.039,7563,7566,32101
1978,2383,68651,69027,485277,447178,15609,23.545,10142,15.299,175688,61354,114334,13.720,39.288,99333,39924,59409,8.928,22.213,76355,17.075,44.427,7835,7837,29978
1978,2389,31984,32171,321209,297928,6752,21.867,4164,13.486,106371,38865,67506,13.045,35.704,59267,18624,40643,6.251,19.893,47104,15.811,39.786,3188,3189,13393
1978,3111,1509,2183,59325,58841,140,6.369,170,7.734,7643,1807,5836,3.071,12.989,6664,2462,4202,4.184,11.326,979,1.664,22.651,86,91,805
1978,3112,557,905,80587,79980,44,4.833,55,6.041,5789,1047,4742,1.309,7.238,4536,1383,3153,1.729,5.671,1253,1.567,11.343,32,32,582
1978,3113,1234,1641,95625,96763,199,12.149,193,11.783,10782,1698,9084,1.755,11.143,13372,4594,8778,4.748,13.819,-2590,-2.677,22.285,114,115,731
1978,3114,1361,1885,191118,188987,104,5.452,149,7.811,24034,3848,20186,2.036,12.717,19924,7218,12706,3.819,10.543,4110,2.175,21.085,81,81,2504
1978,3115,2473,3301,156232,156631,132,3.927,253,7.526,15165,2355,12810,1.504,9.682,16097,5856,10241,3.739,10.277,-932,-0.595,19.364,173,178,3055
1978,3116,4801,5452,333158,328970,372,6.695,580,10.439,40589,9650,30939,2.933,12.338,32292,12142,20150,3.691,9.816,8297,2.522,19.632,389,398,5719
1978,3117,658,790,45184,42582,55,6.918,65,8.176,11146,1597,9549,3.750,26.176,6058,2422,3636,5.688,14.227,5088,11.949,28.454,41,41,836
1978,3118,8115,9700,309068,303267,1188,12.317,1078,11.177,43525,12531,30994,4.132,14.352,31635,13436,18199,4.430,10.431,11890,3.921,20.863,741,757,6965
1978,3119,2132,2521,117220,113693,218,8.635,225,8.913,19109,5816,13293,5.116,16.808,11970,4487,7483,3.947,10.528,7139,6.279,21.057,156,157,2482
1978,3121,2365,2996,184342,181938,165,5.460,217,7.181,22627,3808,18819,2.093,12.437,17603,7142,10461,3.926,9.675,5024,2.761,19.351,133,134,2284
1978,3122,148,217,47770,48377,13,5.752,31,13.717,2964,278,2686,0.575,6.127,4010,1200,2810,2.481,8.289,-1046,-2.162,12.254,12,12,119
1978,3131,505,755,128427,129078,53,7.048,47,6.250,9584,1215,8369,0.941,7.425,10881,4192,6689,3.248,8.430,-1297,-1.005,14.850,29,30,657
1978,3132,1803,2272,367704,374030,158,6.870,214,9.304,22561,3345,19216,0.894,6.032,34731,14092,20639,3.768,9.286,-12170,-3.254,12.064,147,147,4809
1978,3133,3223,3627,157078,155779,323,9.102,166,4.678,18507,4147,14360,2.662,11.880,15782,5098,10684,3.273,10.131,2725,1.749,20.262,95,95,2003
1978,3141,4629,4909,138281,130905,674,13.969,506,10.487,27484,8489,18995,6.485,20.995,12854,4878,7976,3.726,9.819,14630,11.176,19.639,401,401,2364
1978,3149,3298,3430,133422,130586,412,12.193,310,9.174,23371,5365,18006,4.108,17.897,17434,6311,11123,4.833,13.351,5937,4.546,26.701,234,234,3595
1978,3151,1430,1559,143192,141296,143,9.146,152,9.722,20102,4249,15853,3.007,14.227,16427,6562,9865,4.644,11.626,3675,2.601,23.252,111,113,2826
1978,3152,13755,15735,1029580,1020127,2153,13.730,2045,13.041,163168,55819,107349,5.472,15.995,144630,64894,79736,6.361,14.178,18538,1.817,28.355,1536,1548,37212
1978,3159,1582,1686,65070,62865,169,10.093,146,8.719,10502,3176,7326,5.052,16.706,6074,1753,4321,2.789,9.662,4428,7.044,19.324,126,126,1305
1978,3161,428,473,23221,22968,42,8.955,34,7.249,2964,646,2318,2.813,12.905,2472,983,1489,4.280,10.763,492,2.142,21.526,20,20,84
1978,3162,550,827,158275,159989,54,6.514,58,6.996,15456,2907,12549,1.817,9.661,19126,5106,14020,3.191,11.955,-3670,-2.294,19.321,29,32,1055
1978,3169,1423,1491,69209,67387,160,10.667,178,11.867,13347,4497,8850,6.673,19.807,9941,4326,5615,6.420,14.752,3406,5.054,29.504,143,143,2363
1978,3211,5597,6183,164426,160523,709,11.459,718,11.604,26533,8350,18183,5.202,16.529,18691,6813,11878,4.244,11.644,7842,4.885,23.288,527,528,4377
1978,3212,1034,1303,98105,95266,200,15.943,103,8.210,12637,3102,9535,3.256,13.265,6962,3224,3738,3.384,7.308,5675,5.957,14.616,59,61,1357
