year,patents,rnd
1980,,174.696
1981,,183.259
1982,,190.279
1983,,200.959
1984,,218.391
1985,,239.777
1986,,249.475
1987,,259.91
1988,,264.413
1989,,270.082
1990,,279.081
1991,,284.758
1992,58694.0,284.14
1993,61226.0,280.33
1994,64244.0,280.003
1995,64399.0,287.531
1996,69328.0,304.206
1997,69860.0,317.412
1998,90649.0,332.233
1999,94040.0,351.299
2000,96920.0,373.64
2001,98594.0,385.933
2002,97086.0,390.664
2003,98563.0,401.304
2004,94110.0,409.509
2005,82562.0,428.977
2006,102239.0,451.617
2007,93665.0,471.916
2008,91980.0,481.847
2009,95032.0,476.626
2010,121164.0,478.633
2011,121247.0,489.855
2012,134187.0,490.033
2013,147652.0,507.467
2014,158709.0,521.116
2015,155982.0,538.991
2016,160540.0,574.213
2017,169208.0,589.981
2018,161809.0,619.593
2019,186118.0,668.247
2020,183147.0,695.07
2021,,746.335
2022,,803.046
2023,,846.514
2024,,867.022
